,f3db,gm_db,lf_gain,pm_deg,ug,v(lpo),v(xdut.vd1),vdiff,name,type,time,OK
0,45.28785,-16.06128,45.90172,63.54518,8.597344999999999,0.7112466,0.7696986,-6.8835,lstb_SchGtAmcttTtVt_29,Sch,Sat Nov 19 14:11:20 2022,False
1,46.69536,-15.81664,46.18436,63.91707,9.172870999999999,0.7121361,0.7691209,0.6435396,lstb_SchGtAmcttTtVt_28,Sch,Sat Nov 19 14:11:20 2022,True
2,44.07065,-15.75471,45.48372,63.91393,7.988496,0.7380368,0.7628094,6.343642,lstb_SchGtAmcttTtVt_27,Sch,Sat Nov 19 14:11:20 2022,False
3,51.15295,-14.64871,46.09677,60.31417,9.835768,0.721605,0.7659051,-9.46831,lstb_SchGtAmcttTtVt_26,Sch,Sat Nov 19 14:11:20 2022,False
4,46.37349,-15.8308,45.50003,63.63402,8.41753,0.7274161,0.7657628,0.4022733,lstb_SchGtAmcttTtVt_25,Sch,Sat Nov 19 14:11:20 2022,True
5,37.50632,-16.47686,47.33244,64.66994,8.408249,0.7130072,0.7693776,-9.52203,lstb_SchGtAmcttTtVt_24,Sch,Sat Nov 19 14:11:20 2022,False
6,40.021879999999996,-16.62145,45.87439,65.90608,7.628721,0.7318883,0.765177,0.1691105,lstb_SchGtAmcttTtVt_23,Sch,Sat Nov 19 14:11:19 2022,True
7,38.25195,-16.15619,47.88298,61.62178,9.017341,0.7177281,0.7669169,-25.5721,lstb_SchGtAmcttTtVt_22,Sch,Sat Nov 19 14:11:19 2022,False
8,40.71328,-15.73287,47.31114,62.40617,9.031532,0.7153728,0.7685129,-10.4946,lstb_SchGtAmcttTtVt_21,Sch,Sat Nov 19 14:11:19 2022,False
9,40.50996,-17.31723,45.79969,67.04456,7.680133,0.7172119,0.7677508,-1.23712,lstb_SchGtAmcttTtVt_20,Sch,Sat Nov 19 14:11:19 2022,True
10,46.03114,-15.03407,47.16868,60.04768,9.975722,0.7016272,0.7709741,-16.2332,lstb_SchGtAmcttTtVt_19,Sch,Sat Nov 19 14:11:19 2022,False
11,41.621199999999995,-16.96162,44.63249,67.34874,6.9158859999999995,0.7368581,0.7628337,9.49569,lstb_SchGtAmcttTtVt_18,Sch,Sat Nov 19 14:11:19 2022,False
12,43.46629,-15.92328,45.5615,65.16388,7.99958,0.7198586,0.7674938,7.954604000000001,lstb_SchGtAmcttTtVt_17,Sch,Sat Nov 19 14:11:19 2022,False
13,44.10209,-16.11094,45.20914,64.91996,7.776165,0.7317981,0.7627944,3.826682,lstb_SchGtAmcttTtVt_16,Sch,Sat Nov 19 14:11:19 2022,False
14,43.69348,-16.17725,46.02729,63.67616,8.409208999999999,0.7190938,0.7674672,-8.69833,lstb_SchGtAmcttTtVt_15,Sch,Sat Nov 19 14:11:19 2022,False
15,39.292120000000004,-15.5202,47.38839,61.98498,8.795039,0.7127601,0.7684881,-9.65683,lstb_SchGtAmcttTtVt_14,Sch,Sat Nov 19 14:11:19 2022,False
16,39.24015,-16.33687,45.62551,65.9586,7.286864,0.738898,0.7624143,10.90319,lstb_SchGtAmcttTtVt_13,Sch,Sat Nov 19 14:11:19 2022,False
17,39.86052,-16.58599,45.79852,65.5512,7.527925,0.7199322,0.7666533,-0.8235570000000001,lstb_SchGtAmcttTtVt_12,Sch,Sat Nov 19 14:11:19 2022,True
18,41.65543,-16.15319,45.07741,65.586,7.25385,0.726215,0.7647048,14.3722,lstb_SchGtAmcttTtVt_11,Sch,Sat Nov 19 14:11:19 2022,False
19,44.59542,-16.35952,44.5331,65.77759,7.295627,0.7306573,0.7644095,11.69068,lstb_SchGtAmcttTtVt_10,Sch,Sat Nov 19 14:11:19 2022,False
20,43.81772,-15.99291,45.23531,64.93786,7.7556959999999995,0.7285713,0.7656035,8.192301,lstb_SchGtAmcttTtVt_9,Sch,Sat Nov 19 14:11:19 2022,False
21,42.75583,-16.36771,45.53336,65.0887,7.81841,0.723576,0.7660365,1.056773,lstb_SchGtAmcttTtVt_8,Sch,Sat Nov 19 14:11:19 2022,True
22,43.57638,-16.03258,45.41736,64.54818,7.857996999999999,0.7346176,0.7646887,4.6996210000000005,lstb_SchGtAmcttTtVt_7,Sch,Sat Nov 19 14:11:19 2022,False
23,41.37204,-16.54235,45.34698,66.50437,7.449495,0.7268388,0.7649416,7.03009,lstb_SchGtAmcttTtVt_6,Sch,Sat Nov 19 14:11:19 2022,False
24,39.12415,-16.84456,45.60648,66.59313,7.247256999999999,0.7277834,0.7656951,4.819647,lstb_SchGtAmcttTtVt_5,Sch,Sat Nov 19 14:11:19 2022,False
25,40.71405,-15.74515,46.38804,63.73446,8.187403,0.7189055,0.7668083,0.7080453,lstb_SchGtAmcttTtVt_4,Sch,Sat Nov 19 14:11:18 2022,True
26,42.14521,-15.55089,46.46242,63.01717,8.529811,0.7273792,0.7643189,-1.04651,lstb_SchGtAmcttTtVt_3,Sch,Sat Nov 19 14:11:18 2022,True
27,47.13272,-15.6057,45.80428,63.49728,8.860382999999999,0.7106288,0.7691622,-1.46305,lstb_SchGtAmcttTtVt_2,Sch,Sat Nov 19 14:11:18 2022,True
28,37.824760000000005,-16.2992,46.9136,64.62022,8.098416,0.7255742,0.7639792,-5.51889,lstb_SchGtAmcttTtVt_1,Sch,Sat Nov 19 14:11:18 2022,False
29,27.22382,-17.21509,48.79896,66.26374,7.26526,0.722034,0.7665185,-3.1642799999999998,lstb_SchGtAmcttTtVt,Sch,Sat Nov 19 14:11:18 2022,False
