,f3db,gm_db,lf_gain,pm_deg,ug,v(lpo),v(xdut.vd1),vdiff,name,type,time,OK
0,69.38533,-16.69962,46.13092,62.86306,13.4218,0.81382,0.8507689,0.4422803,lstb_SchGtAfsTlVh,Sch,Mon Nov 14 20:03:16 2022,True
1,85.28314999999999,-15.59098,46.51888,59.30487,16.96959,0.6846057,0.8507619,0.4716167,lstb_SchGtAsfTlVh,Sch,Mon Nov 14 20:03:00 2022,True
2,95.31502,-14.74389,46.43606,55.22533,18.359019999999997,0.798036,0.8478129,0.09610465,lstb_SchGtAffTlVh,Sch,Mon Nov 14 20:02:45 2022,True
3,61.5516,-16.54741,46.55651,62.02402,12.440299999999999,0.699781,0.8530335,0.7730165,lstb_SchGtAssTlVh,Sch,Mon Nov 14 20:02:30 2022,True
4,41.213029999999996,-20.07634,44.499,69.75581,6.744733,1.043435,0.5820661,-1.47907,lstb_SchGtAfsThVh,Sch,Mon Nov 14 20:02:15 2022,True
5,57.12535,-18.56532,45.22339,65.07526,9.985123999999999,0.8694786,0.5818785,-0.738772,lstb_SchGtAsfThVh,Sch,Mon Nov 14 20:02:00 2022,True
6,65.96659,-18.04894,44.542,64.25011,10.635309999999999,1.022234,0.5762047,-1.77898,lstb_SchGtAffThVh,Sch,Mon Nov 14 20:01:45 2022,True
7,37.48574,-20.86859,44.89132,71.84776,6.453812,0.8940771,0.58832,-0.483634,lstb_SchGtAssThVh,Sch,Mon Nov 14 20:01:31 2022,True
8,70.70833,-16.52627,45.72932,61.3756,12.951659999999999,0.6133489,0.8505197,1.4362419999999998,lstb_SchGtAfsTlVl,Sch,Mon Nov 14 20:01:16 2022,True
9,92.07796,-15.5356,45.40676,57.53268,15.92424,0.4843413,0.8505426,1.348363,lstb_SchGtAsfTlVl,Sch,Mon Nov 14 20:01:01 2022,False
10,98.65616,-14.66848,46.01991,53.35356,17.82708,0.5975799,0.8475767,1.042144,lstb_SchGtAffTlVl,Sch,Mon Nov 14 20:00:47 2022,True
11,65.18303,-17.47889,45.98686,65.36146,12.50812,0.4999942,0.8526936,2.020517,lstb_SchGtAssTlVl,Sch,Mon Nov 14 20:00:32 2022,False
12,40.92692,-20.49706,44.06704,70.95646,6.393695999999999,0.8428454,0.5817647,-0.287786,lstb_SchGtAfsThVl,Sch,Mon Nov 14 20:00:18 2022,True
13,59.3047,-18.93942,44.39297,67.15117,9.509348,0.6691307,0.5816187,0.2857307,lstb_SchGtAsfThVl,Sch,Mon Nov 14 20:00:04 2022,True
14,66.4819,-18.27837,44.19837,64.35054,10.30795,0.821727,0.5759032,-0.586018,lstb_SchGtAffThVl,Sch,Mon Nov 14 19:59:50 2022,True
15,38.12325,-21.21721,44.28742,73.15831,6.147214,0.6936831,0.5880527,0.5709817,lstb_SchGtAssThVl,Sch,Mon Nov 14 19:59:36 2022,True
