,f3db,gm_db,lf_gain,pm_deg,ug,v(lpo),v(xdut.vd1),vdiff,name,type,time,OK
0,49.419760000000004,-12.86993,46.31441,49.94203,9.168384,0.7055382,0.7528679,-5.72537,lstb_SchGtAmcttTtVt_29,Sch,Tue Nov 15 21:59:05 2022,False
1,43.06572,-13.79844,45.82437,54.26523,7.754842,0.7341614,0.7445685,-6.22658,lstb_SchGtAmcttTtVt_28,Sch,Tue Nov 15 21:58:51 2022,False
2,36.50148,-15.07586,46.21206,58.14713,6.998971,0.7412948,0.7429679,-9.93134,lstb_SchGtAmcttTtVt_27,Sch,Tue Nov 15 21:58:38 2022,False
3,41.20779,-14.01591,45.76571,55.30326,7.415792,0.7372694,0.7436753,-0.5267540000000001,lstb_SchGtAmcttTtVt_26,Sch,Tue Nov 15 21:58:25 2022,True
4,43.08753,-12.86569,47.52971,50.05387,9.204227,0.7150888,0.750707,-11.1911,lstb_SchGtAmcttTtVt_25,Sch,Tue Nov 15 21:58:11 2022,False
5,38.2618,-14.05048,46.54908,55.20221,7.523598,0.7277259,0.746891,0.1770578,lstb_SchGtAmcttTtVt_24,Sch,Tue Nov 15 21:57:57 2022,True
6,43.220760000000006,-13.75451,45.84096,53.95842,7.783542,0.7337606,0.7452939,-5.51563,lstb_SchGtAmcttTtVt_23,Sch,Tue Nov 15 21:57:44 2022,False
7,37.15802,-14.93745,45.23225,59.11269,6.406988,0.7618028,0.7401817,10.391020000000001,lstb_SchGtAmcttTtVt_22,Sch,Tue Nov 15 21:57:31 2022,False
8,52.01104,-12.94729,45.26277,51.01457,8.628254,0.7338627,0.7468403,-7.2291300000000005,lstb_SchGtAmcttTtVt_21,Sch,Tue Nov 15 21:57:17 2022,False
9,33.673730000000006,-16.63211,44.89744,63.73043,5.682328,0.7576161,0.7377727,-1.4716,lstb_SchGtAmcttTtVt_20,Sch,Tue Nov 15 21:57:04 2022,True
10,47.78862,-14.35569,44.53575,56.2934,7.500888,0.7358339,0.7461679,0.15103809999999998,lstb_SchGtAmcttTtVt_19,Sch,Tue Nov 15 21:56:50 2022,True
11,41.92409,-15.63296,44.79388,60.63083,6.907416,0.7411851,0.7429259,7.886696000000001,lstb_SchGtAmcttTtVt_18,Sch,Tue Nov 15 21:56:37 2022,False
12,48.49306,-14.44057,44.54612,56.85213,7.645411999999999,0.7235106,0.7488951,-1.17275,lstb_SchGtAmcttTtVt_17,Sch,Tue Nov 15 21:56:24 2022,True
13,44.991620000000005,-14.02943,45.11554,55.39845,7.517709999999999,0.7481007,0.7430545,2.639605,lstb_SchGtAmcttTtVt_16,Sch,Tue Nov 15 21:56:10 2022,False
14,46.53736,-14.2503,44.55323,56.18408,7.320199,0.7590716,0.7378871,-4.71248,lstb_SchGtAmcttTtVt_15,Sch,Tue Nov 15 21:55:56 2022,False
15,41.23106,-15.10319,46.66123,57.59352,8.285976,0.7331795,0.745972,-4.95248,lstb_SchGtAmcttTtVt_14,Sch,Tue Nov 15 21:55:43 2022,False
16,42.62481,-13.53393,46.07013,53.63563,7.877358999999999,0.7405015,0.7422176,-1.52041,lstb_SchGtAmcttTtVt_13,Sch,Tue Nov 15 21:55:29 2022,True
17,44.01359,-12.9872,46.78919,51.52008,8.733513,0.7341871,0.7464866,-3.78205,lstb_SchGtAmcttTtVt_12,Sch,Tue Nov 15 21:55:15 2022,False
18,48.14956,-13.92309,46.51959,53.67962,9.336166,0.7122056,0.7511683,-1.28659,lstb_SchGtAmcttTtVt_11,Sch,Tue Nov 15 21:55:01 2022,True
19,42.955220000000004,-14.35356,45.45372,56.95375,7.523644999999999,0.735714,0.7438733,7.232845,lstb_SchGtAmcttTtVt_10,Sch,Tue Nov 15 21:54:48 2022,False
20,42.84273,-14.56637,46.80377,55.92196,8.682604,0.7189424,0.7483988,-0.917116,lstb_SchGtAmcttTtVt_9,Sch,Tue Nov 15 21:54:34 2022,True
21,47.59118,-13.87284,45.85596,54.24088,8.59931,0.7282996,0.7470583,-3.94421,lstb_SchGtAmcttTtVt_8,Sch,Tue Nov 15 21:54:20 2022,False
22,42.13921,-13.33195,46.60548,52.61108,8.226632,0.7337818,0.7447173,2.040949,lstb_SchGtAmcttTtVt_7,Sch,Tue Nov 15 21:54:07 2022,False
23,46.8943,-12.79809,46.46757,50.54645,8.912737,0.7223752,0.7489979,-7.419689999999999,lstb_SchGtAmcttTtVt_6,Sch,Tue Nov 15 21:53:54 2022,False
24,49.09625,-12.40947,47.03235,48.59065,9.823167,0.7089489,0.7516043,-8.81265,lstb_SchGtAmcttTtVt_5,Sch,Tue Nov 15 21:53:40 2022,False
25,45.79631,-12.91584,46.64843,50.80644,8.896162,0.7098724,0.7517926,-6.3128,lstb_SchGtAmcttTtVt_4,Sch,Tue Nov 15 21:53:27 2022,False
26,45.1409,-15.1087,44.91866,58.64142,7.481434999999999,0.7290057,0.7468885,-2.3374699999999997,lstb_SchGtAmcttTtVt_3,Sch,Tue Nov 15 21:53:13 2022,False
27,41.21889,-13.47776,46.5491,52.99224,8.008654,0.721426,0.7495819,0.1085142,lstb_SchGtAmcttTtVt_2,Sch,Tue Nov 15 21:53:00 2022,True
28,38.20242,-14.30172,46.91272,55.46611,7.834044,0.7169758,0.7499998,-3.53529,lstb_SchGtAmcttTtVt_1,Sch,Tue Nov 15 21:52:46 2022,False
29,47.08284,-13.22183,46.05787,52.0181,8.606078,0.728277,0.7463224,-7.37978,lstb_SchGtAmcttTtVt,Sch,Tue Nov 15 21:52:33 2022,False
